category,title,director,image_director,cast1,image_cast1,cast2,image_cast2,cast3,image_cast3,image_title
Oscar,Ray,Taylor Hackford,https://image.tmdb.org/t/p/w500/aAP9RYT7XxUiC2NZL9Hi2gEdxGB.jpg,Jamie Foxx,https://image.tmdb.org/t/p/w500/hPwCMEq6jLAidsXAX5BfoYgIfg2.jpg,Kerry Washington,https://image.tmdb.org/t/p/w500/zgyjYlxmHG6Ntbg16JcTp8Vu8M3.jpg,Regina King,https://image.tmdb.org/t/p/w500/fEIz0ljk9CBrp3AitM5nwjfoGVu.jpg,https://image.tmdb.org/t/p/w500/tSPC7sO2XYNL9QcMmK88tuUALL5.jpg
Oscar,Million Dollar Baby,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Hilary Swank,https://image.tmdb.org/t/p/w500/uin6aAehUGpPCiJCaSjZG8B7M7d.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg
Oscar,Million Dollar Baby,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Hilary Swank,https://image.tmdb.org/t/p/w500/uin6aAehUGpPCiJCaSjZG8B7M7d.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,https://image.tmdb.org/t/p/w500/jcfEqKdWF1zeyvECPqp3mkWLct2.jpg
Oscar,Brokeback Mountain,Ang Lee,https://image.tmdb.org/t/p/w500/jrmdsPZI5WT4rmOl20Gb1Y2femb.jpg,Heath Ledger,https://image.tmdb.org/t/p/w500/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg,Jake Gyllenhaal,https://image.tmdb.org/t/p/w500/btORQRDyGCF0KNweGGYpmQXZK3P.jpg,Michelle Williams,https://image.tmdb.org/t/p/w500/jn3BVMVbIptz2gc6Fhxo1qwJVvW.jpg,https://image.tmdb.org/t/p/w500/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg
Oscar,The Queen,Stephen Frears,https://image.tmdb.org/t/p/w500/2QPhgz395c8MjRpBMidUdSWXOBN.jpg,Helen Mirren,https://image.tmdb.org/t/p/w500/tFc53mBJKhKhlTLaHQkn03NC5hf.jpg,Michael Sheen,https://image.tmdb.org/t/p/w500/iKHKWahPQYuxJSjXf8ZEmEZD9wZ.jpg,James Cromwell,https://image.tmdb.org/t/p/w500/vpNQQbM5PtxsYmVm4oh79SGFyUK.jpg,https://image.tmdb.org/t/p/w500/v08RH5Cx9EFAQMBWQuE5jHAgHYs.jpg
Oscar,The Departed,Martin Scorsese,https://image.tmdb.org/t/p/w500/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,Leonardo DiCaprio,https://image.tmdb.org/t/p/w500/ts9l18VkDSooRGDWIeQegNVHciC.jpg,Matt Damon,https://image.tmdb.org/t/p/w500/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,Jack Nicholson,https://image.tmdb.org/t/p/w500/hBHcQIEa6P48HQAlLZkh0eKSSkG.jpg,https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg
Oscar,There Will Be Blood,Paul Thomas Anderson,https://image.tmdb.org/t/p/w500/wKAs2LtLYSUzt3ZZ8pnxMwuEWuR.jpg,Daniel Day-Lewis,https://image.tmdb.org/t/p/w500/3kNA9VcmymoEwT0btQ4bvMYxzcP.jpg,Paul Dano,https://image.tmdb.org/t/p/w500/zEJJsm0z07EPNl2Pi1h67xuCmcA.jpg,Kevin J. O'Connor,https://image.tmdb.org/t/p/w500/nlsRZBGlfZTmy0iEjCr5JFTorgb.jpg,https://image.tmdb.org/t/p/w500/fa0RDkAlCec0STeMNAhPaF89q6U.jpg
Oscar,The Reader,Stephen Daldry,https://image.tmdb.org/t/p/w500/3nxFXIgMXhqU1aCOp7TOOEnhKCq.jpg,Kate Winslet,https://image.tmdb.org/t/p/w500/e3tdop3WhseRnn8KwMVLAV25Ybv.jpg,Ralph Fiennes,https://image.tmdb.org/t/p/w500/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg,David Kross,https://image.tmdb.org/t/p/w500/jRFxrLwiroTbGedG9uyXZghgxlX.jpg,https://image.tmdb.org/t/p/w500/r0WURbmnhgKeBpHcpDULBgRedQM.jpg
Oscar,Slumdog Millionaire,Danny Boyle,https://image.tmdb.org/t/p/w500/b5qQpFHmgNyvV1t81ou17Jt2fRj.jpg,Dev Patel,https://image.tmdb.org/t/p/w500/1g07SUVwZHvKgM1Z7H4RYIEOXcm.jpg,Freida Pinto,https://image.tmdb.org/t/p/w500/tub18dfDNMxlempVIuPXh8fmZVs.jpg,Madhur Mittal,https://image.tmdb.org/t/p/w500/zUAMHowKCKkmx1rM9il5t8B7fxt.jpg,https://image.tmdb.org/t/p/w500/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg
Oscar,The Blind Side,John Lee Hancock,https://image.tmdb.org/t/p/w500/ytGKxuC1sFUmd68jUwDA37Jn0LG.jpg,Sandra Bullock,https://image.tmdb.org/t/p/w500/hPHGKPAWZ8gArYXMk225rrYPoyJ.jpg,Tim McGraw,https://image.tmdb.org/t/p/w500/gJdDFQHnsptnjI1bepJ2nxzBPkv.jpg,Quinton Aaron,https://image.tmdb.org/t/p/w500/yoK8q52hZ0oTEpRHtZfByIA7sEd.jpg,https://image.tmdb.org/t/p/w500/bMgq7VBriuBFknXEe9E9pVBYGZq.jpg
