title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,441099,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1552963,
"Planet of the Apes",movie,"Action, Adventure, Sci-Fi",2001,tt0133152,5.7,237180,
"The Color Purple",movie,Drama,1985,tt0088939,7.7,100139,
Crash,movie,Drama,1996,tt0115964,6.4,68769,
Gremlins,movie,"Comedy, Fantasy, Horror",1984,tt0087363,7.3,259887,
"Gremlins 2: The New Batch",movie,"Comedy, Fantasy, Horror",1990,tt0099700,6.4,116441,
"Lethal Weapon",movie,"Action, Crime, Thriller",1987,tt0093409,7.6,284735,
"Lethal Weapon 2",movie,"Action, Crime, Thriller",1989,tt0097733,7.3,194289,
"Lethal Weapon 3",movie,"Action, Crime, Thriller",1992,tt0104714,6.7,182929,
"Lethal Weapon 4",movie,"Action, Crime, Thriller",1998,tt0122151,6.6,175863,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,746821,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,484458,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,401072,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,173706,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117327,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,259066,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118525,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,172994,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,136840,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123140,
300,movie,"Action, Drama",2006,tt0416449,7.6,884859,
"The Dreamers",movie,"Drama, Romance",2003,tt0309987,7.1,136474,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,766177,
"Sex and Lucía",movie,"Drama, Romance",2001,tt0254455,7,39565,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,602677,
"Lights in the Dusk",movie,"Crime, Drama",2006,tt0458242,6.8,8331,
"Y tu mamá también",movie,Drama,2001,tt0245574,7.7,133048,
Nostalghia,movie,Drama,1983,tt0086022,7.9,31332,
"La Vie En Rose",movie,"Biography, Drama, Music",2007,tt0450188,7.5,92058,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1472216,
"The Virgin Suicides",movie,"Drama, Romance",1999,tt0159097,7.2,176908,
Immortality,movie,"Crime, Mystery, Romance",1998,tt0120894,6.2,6299,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,237819,
"Spy Game",movie,"Action, Crime, Thriller",2001,tt0266987,7.1,171554,
Collateral,movie,"Action, Crime, Drama",2004,tt0369339,7.5,445357,
"Office Space",movie,Comedy,1999,tt0151804,7.6,296829,
"Live Free or Die Hard",movie,"Action, Thriller",2007,tt0337978,7.1,427629,
"Die Hard with a Vengeance",movie,"Action, Adventure, Thriller",1995,tt0112864,7.6,418177,
"Die Hard 2",movie,"Action, Thriller",1990,tt0099423,7.1,394573,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,248772,
Apocalypto,movie,"Action, Adventure, Drama",2006,tt0472043,7.8,341957,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,260307,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,109285,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,332917,
"Speed 2: Cruise Control",movie,"Action, Adventure, Crime",1997,tt0120179,4,87813,
Crash,movie,"Crime, Drama, Thriller",2004,tt0375679,7.7,453918,
"A Time to Kill",movie,"Crime, Drama, Thriller",1996,tt0117913,7.5,188427,
"Con Air",movie,"Action, Crime, Thriller",1997,tt0118880,6.9,328007,
Copycat,movie,"Drama, Mystery, Thriller",1995,tt0112722,6.6,69078,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,106797,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,355462,
"Jesus Camp",movie,Documentary,2006,tt0486358,7.4,29068,
"The Piano Teacher",movie,"Drama, Music",2001,tt0254686,7.5,75230,
"Phone Booth",movie,"Crime, Thriller",2002,tt0183649,7.1,293041,
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,692478,
Sunflower,movie,"Drama, War",1970,tt0065782,7.3,4778,
"The Beach",movie,"Adventure, Drama, Romance",2000,tt0163978,6.6,259565,
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,406539,
"The Bow",movie,"Drama, Romance",2005,tt0456470,7.1,11998,
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37984,
"Death Proof",movie,"Drama, Thriller",2007,tt1028528,7,322173,
"Planet Terror",movie,"Action, Comedy, Horror",2007,tt1077258,7,227502,
"The Mourning Forest",movie,Drama,2007,tt1016205,6.7,2966,
"Secret Sunshine",movie,Drama,2007,tt0817225,7.5,10060,
Hidalgo,movie,"Action, Adventure, Biography",2004,tt0317648,6.7,86988,
Hostage,movie,"Action, Crime, Drama",2005,tt0340163,6.5,114515,
"Say Anything",movie,"Comedy, Drama, Romance",1989,tt0098258,7.3,98663,
"Training Day",movie,"Crime, Drama, Thriller",2001,tt0139654,7.8,491082,
"The Lake House",movie,"Drama, Fantasy, Romance",2006,tt0410297,6.8,160709,
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,tt0343818,7.1,592118,
"Mr. Holland's Opus",movie,"Drama, Music",1995,tt0113862,7.3,42767,
Ratatouille,movie,"Adventure, Animation, Comedy",2007,tt0382932,8.1,871855,
"The Getaway",movie,"Action, Adventure, Crime",1994,tt0109890,5.8,20389,
"Gappa the Triphibian Monster",movie,"Action, Adventure, Comedy",1967,tt0061550,4.4,1797,
"L.A. Confidential",movie,"Crime, Drama, Mystery",1997,tt0119488,8.2,636421,
"The Perfect Storm",movie,"Action, Adventure, Drama",2000,tt0177971,6.5,182583,
"The Time Machine",movie,"Action, Adventure, Sci-Fi",2002,tt0268695,6,132770,
"Cop Land",movie,"Crime, Drama, Thriller",1997,tt0118887,7,110291,
Valkyrie,movie,"Drama, History, Thriller",2008,tt0985699,7.1,265244,
Beowulf,movie,"Action, Adventure, Animation",2007,tt0442933,6.3,176767,
"Executive Decision",movie,"Action, Adventure, Thriller",1996,tt0116253,6.5,63101,
Taxi,movie,"Action, Comedy, Crime",1998,tt0152930,7,92116,
"Taxi 4",movie,"Action, Comedy, Crime",2007,tt0804540,5.6,31678,
"10 Items or Less",movie,"Comedy, Drama",2006,tt0499603,6.5,16596,
"The Young Girls of Rochefort",movie,"Comedy, Drama, Musical",1967,tt0062873,7.7,12727,
"Joint Security Area",movie,"Action, Drama, Thriller",2000,tt0260991,7.7,35863,
"The Bourne Identity",movie,"Action, Mystery, Thriller",2002,tt0258463,7.8,590973,
"The Bourne Supremacy",movie,"Action, Thriller",2004,tt0372183,7.7,497387,
"The Bourne Ultimatum",movie,"Action, Mystery, Thriller",2007,tt0440963,8,668640,
"The Specialist",movie,"Action, Drama, Thriller",1994,tt0111255,5.6,71256,
"Sleepy Hollow",movie,"Fantasy, Horror, Mystery",1999,tt0162661,7.3,396425,
Ringu,movie,"Horror, Mystery",1998,tt0178868,7.2,80994,
"Addams Family Values",movie,"Comedy, Fantasy",1993,tt0106220,6.8,115937,
"The Addams Family",movie,"Comedy, Fantasy",1991,tt0101272,6.9,189561,
Roar,movie,"Adventure, Comedy, Thriller",1981,tt0083001,6.1,4883,
"One on Top of the Other",movie,"Drama, Horror, Mystery",1969,tt0065148,6.6,2825,
"Doctor Dolittle",movie,"Comedy, Family, Fantasy",1998,tt0118998,5.4,104383,
"The Searchers",movie,"Adventure, Drama, Western",1956,tt0049730,7.8,99410,
"Battle Royale",movie,"Adventure, Drama, Thriller",2000,tt0266308,7.5,199473,
"Battle Royale II",movie,"Action, Adventure, Drama",2003,tt0338763,4.6,21814,
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,tt0433383,7.4,102539,
"Under Siege 2: Dark Territory",movie,"Action, Adventure, Thriller",1995,tt0114781,5.6,51376,
"Black Sheep",movie,"Comedy, Horror, Sci-Fi",2006,tt0779982,5.8,42626,
"Flags of Our Fathers",movie,"Action, Adventure, Drama",2006,tt0418689,7.1,131458,
Beetlejuice,movie,"Comedy, Fantasy",1988,tt0094721,7.5,399446,
"That Man from Rio",movie,"Action, Adventure, Comedy",1964,tt0058203,7,6597,
"Women on the Verge of a Nervous Breakdown",movie,"Comedy, Drama",1988,tt0095675,7.5,48347,
Scream,movie,"Horror, Mystery",1996,tt0117571,7.4,412400,
"Eat the Rich",movie,"Action, Comedy, Crime",1987,tt0092944,5.8,1652,
"The Kingdom",movie,"Action, Drama, Thriller",2007,tt0431197,7,134613,
Bordertown,movie,"Crime, Mystery, Thriller",2007,tt0445935,6,11640,
Monster-in-Law,movie,"Comedy, Romance",2005,tt0369735,5.6,67007,
"My Super Ex-Girlfriend",movie,"Comedy, Romance, Sci-Fi",2006,tt0465624,5.2,67970,
"The Devil's Own",movie,"Action, Crime, Drama",1997,tt0118972,6.2,73912,
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,tt0104545,6.4,15616,
"The Assassination of Jesse James by the Coward Robert Ford",movie,"Biography, Crime, Drama",2007,tt0443680,7.5,197057,
"Lady Vengeance",movie,"Crime, Drama, Thriller",2005,tt0451094,7.5,88544,
"The Machinist",movie,"Drama, Thriller",2004,tt0361862,7.6,426274,
"The Story of O",movie,Drama,1975,tt0073115,5.3,7193,
